ProductID,SKU,ProductName,Category,SubCategory,Brand,UnitPrice,CostPrice,Weight,UnitOfMeasure,SupplierID,LaunchDate,IsActive
1,SKU-ELE-000001,Nike Wireless Charger,Electronics,Mobile,Nike,15766.09,11199.38,16.98,Box,457,2023-12-26,True
2,SKU-GRO-000002,Sony Rice,Groceries,Food,Sony,14557.1,10970.97,0.86,Box,102,2019-06-29,True
3,SKU-GRO-000003,Nestle Cooking Oil,Groceries,Food,Nestle,20280.5,13945.63,19.02,Liter,82,2018-10-04,True
4,SKU-FAS-000004,Realme Jeans,Fashion,Men,Realme,19939.72,16862.9,2.6,Liter,434,2024-11-07,True
5,SKU-ELE-000005,Tata Keyboard,Electronics,Accessories,Tata,9256.67,6285.07,2.15,Box,151,2020-11-19,True
6,SKU-FAS-000006,Noise Sneakers,Fashion,Footwear,Noise,4868.59,3524.28,19.37,Piece,41,2020-08-17,True
7,SKU-GRO-000007,IKEA Coffee,Groceries,Beverages,IKEA,50345.62,41713.82,9.01,Piece,344,2020-06-11,True
8,SKU-FUR-000008,Tata Office Chair,Furniture,Office,Tata,44026.11,36469.88,9.61,Box,474,2019-09-25,True
9,SKU-HOM-000009,Realme Air Cooler,Home Appliances,Cooling,Realme,47744.25,38811.2,1.0,Piece,162,2024-10-23,True
10,SKU-HOM-000010,Lenovo Air Cooler,Home Appliances,Cooling,Lenovo,42247.89,32789.16,22.88,Kg,235,2019-06-02,True
11,SKU-HOM-000011,Mi Air Cooler,Home Appliances,Cooling,Mi,42829.06,29250.07,10.11,Kg,113,2024-04-20,False
12,SKU-FUR-000012,Realme Bed,Furniture,Bedroom,Realme,2856.22,2403.46,15.76,Box,406,2024-11-05,True
13,SKU-ELE-000013,Amul Chromebook,Electronics,Laptop,Amul,66500.82,49806.26,24.28,Piece,441,2026-02-18,True
14,SKU-FUR-000014,Woodland Mattress,Furniture,Bedroom,Woodland,7320.83,5622.03,11.45,Liter,489,2023-03-09,True
15,SKU-FUR-000015,LG TV Unit,Furniture,Living Room,LG,54609.47,43532.4,16.05,Liter,312,2019-04-15,True
16,SKU-HOM-000016,Amul Ceiling Fan,Home Appliances,Cooling,Amul,18788.56,16241.6,23.24,Liter,450,2023-07-27,False
17,SKU-HOM-000017,Nestle Microwave,Home Appliances,Kitchen,Nestle,55872.13,47350.12,12.25,Box,36,2022-02-18,False
18,SKU-HOM-000018,Tata Rice Cooker,Home Appliances,Kitchen,Tata,11075.34,8298.09,15.24,Box,494,2018-10-25,True
19,SKU-HOM-000019,Bajaj Air Cooler,Home Appliances,Cooling,Bajaj,68539.12,49757.71,11.06,Kg,265,2018-10-19,True
20,SKU-HOM-000020,Samsung Air Fryer,Home Appliances,Kitchen,Samsung,36222.2,29436.02,5.66,Piece,37,2019-05-06,True
21,SKU-HOM-000021,Woodland Mixer Grinder,Home Appliances,Kitchen,Woodland,4426.71,3589.32,16.79,Box,110,2020-05-28,True
22,SKU-FUR-000022,Godrej Bed,Furniture,Bedroom,Godrej,49133.51,40384.48,2.6,Pack,221,2020-07-10,True
23,SKU-GRO-000023,Boat Biscuits,Groceries,Snacks,Boat,44986.9,32690.1,1.7,Piece,373,2022-11-05,True
24,SKU-HOM-000024,Tata Microwave,Home Appliances,Kitchen,Tata,29143.14,22458.25,7.11,Piece,128,2023-09-01,True
25,SKU-GRO-000025,Apple Biscuits,Groceries,Snacks,Apple,43691.11,32624.64,0.57,Kg,48,2018-10-09,True
26,SKU-HOM-000026,Godrej Steam Mop,Home Appliances,Cleaning,Godrej,13841.32,10726.68,1.65,Pack,195,2023-04-27,True
27,SKU-FAS-000027,Prestige Handbag,Fashion,Women,Prestige,48980.46,34844.75,19.63,Kg,339,2020-03-27,True
28,SKU-HOM-000028,Apple Vacuum Cleaner,Home Appliances,Cleaning,Apple,38826.57,28980.06,18.75,Pack,30,2024-08-20,True
29,SKU-FUR-000029,Apple Office Chair,Furniture,Office,Apple,56594.07,48040.91,4.81,Kg,305,2024-01-28,True
30,SKU-GRO-000030,Nestle Wheat Flour,Groceries,Food,Nestle,40656.66,29746.23,10.6,Liter,299,2024-07-05,True
31,SKU-FAS-000031,Nike Shirt,Fashion,Men,Nike,15925.09,13317.44,16.21,Piece,235,2023-03-08,True
32,SKU-ELE-000032,Sony Gaming Laptop,Electronics,Laptop,Sony,35704.33,26904.84,3.48,Kg,179,2022-02-11,True
33,SKU-FAS-000033,Havells Dress,Fashion,Women,Havells,58216.97,41695.56,15.37,Piece,414,2020-06-02,True
34,SKU-FUR-000034,LG Mattress,Furniture,Bedroom,LG,56198.7,46949.55,3.06,Kg,55,2022-05-14,True
35,SKU-FAS-000035,Noise Dress,Fashion,Women,Noise,23886.57,17176.87,21.35,Piece,259,2023-07-23,True
36,SKU-ELE-000036,Adidas Keyboard,Electronics,Accessories,Adidas,2852.87,2252.13,3.44,Pack,135,2020-11-29,True
37,SKU-FUR-000037,Tata Study Table,Furniture,Office,Tata,626.99,533.0,22.1,Piece,463,2025-06-06,True
38,SKU-FAS-000038,Dell Sandals,Fashion,Footwear,Dell,25060.55,21517.85,9.24,Piece,478,2025-12-09,True
39,SKU-FAS-000039,Boat Jeans,Fashion,Men,Boat,7377.81,5184.54,22.13,Kg,209,2018-08-08,False
40,SKU-HOM-000040,Prestige Microwave,Home Appliances,Kitchen,Prestige,1813.36,1288.08,8.44,Kg,477,2024-12-31,True
41,SKU-FAS-000041,Bajaj T-Shirt,Fashion,Men,Bajaj,63263.5,43614.73,5.72,Liter,419,2025-05-26,True
42,SKU-FAS-000042,Samsung Jeans,Fashion,Men,Samsung,42576.34,33018.66,7.11,Liter,36,2019-11-27,False
43,SKU-FAS-000043,Bajaj Sandals,Fashion,Footwear,Bajaj,49127.9,33991.93,8.41,Liter,15,2024-06-26,True
44,SKU-HOM-000044,Apple Air Cooler,Home Appliances,Cooling,Apple,7115.58,5464.71,18.27,Box,161,2022-02-21,True
45,SKU-ELE-000045,Adidas Business Laptop,Electronics,Laptop,Adidas,2953.18,2267.11,13.09,Kg,413,2021-06-10,True
46,SKU-FAS-000046,Boat Kurti,Fashion,Women,Boat,62990.95,46042.5,16.65,Liter,64,2020-11-28,True
47,SKU-FUR-000047,Prestige Mattress,Furniture,Bedroom,Prestige,22782.29,16342.84,13.95,Pack,99,2019-11-14,True
48,SKU-HOM-000048,Bajaj Air Cooler,Home Appliances,Cooling,Bajaj,31536.27,27419.46,7.32,Box,221,2020-05-17,True
49,SKU-FAS-000049,Havells Top,Fashion,Women,Havells,44913.97,33797.58,19.88,Kg,492,2025-01-15,True
50,SKU-ELE-000050,Sony Ultrabook,Electronics,Laptop,Sony,57830.28,40930.25,16.89,Kg,116,2021-05-29,True
51,SKU-ELE-000051,Godrej Feature Phone,Electronics,Mobile,Godrej,43396.58,30583.13,11.49,Kg,454,2019-06-01,True
52,SKU-GRO-000052,Nike Coffee,Groceries,Beverages,Nike,10320.41,7421.19,22.34,Piece,441,2019-05-03,True
53,SKU-GRO-000053,Noise Wheat Flour,Groceries,Food,Noise,30265.9,25921.99,6.38,Kg,435,2021-10-11,True
54,SKU-GRO-000054,Tata Namkeen,Groceries,Snacks,Tata,44168.3,29792.84,22.31,Box,314,2019-05-15,True
55,SKU-GRO-000055,HP Chips,Groceries,Snacks,HP,48954.46,37195.59,6.63,Liter,127,2021-08-07,True
56,SKU-FUR-000056,Nike Mattress,Furniture,Bedroom,Nike,16204.39,13766.14,7.29,Box,140,2025-10-03,True
57,SKU-ELE-000057,Nike Feature Phone,Electronics,Mobile,Nike,23085.92,19182.61,5.51,Box,213,2021-06-21,True
58,SKU-GRO-000058,Lenovo Tea,Groceries,Beverages,Lenovo,53578.84,41652.91,19.29,Box,485,2023-09-06,True
59,SKU-GRO-000059,Philips Tea,Groceries,Beverages,Philips,19253.3,14965.7,22.31,Box,428,2020-10-17,True
60,SKU-FUR-000060,Nike Coffee Table,Furniture,Living Room,Nike,18061.37,13683.12,9.84,Pack,343,2025-05-30,True
61,SKU-HOM-000061,Amul Vacuum Cleaner,Home Appliances,Cleaning,Amul,39223.51,26729.48,14.88,Pack,340,2018-11-30,True
62,SKU-HOM-000062,Apple Vacuum Cleaner,Home Appliances,Cleaning,Apple,16496.12,13044.81,11.48,Pack,173,2024-10-02,True
63,SKU-FAS-000063,Sony Handbag,Fashion,Women,Sony,33244.8,23541.83,1.49,Piece,488,2022-06-15,True
64,SKU-ELE-000064,Lenovo Feature Phone,Electronics,Mobile,Lenovo,57391.9,41969.48,6.12,Box,243,2023-02-09,True
65,SKU-HOM-000065,Realme Steam Mop,Home Appliances,Cleaning,Realme,25165.89,18476.31,24.1,Kg,368,2019-08-10,True
66,SKU-FAS-000066,Puma T-Shirt,Fashion,Men,Puma,42289.12,28811.05,9.51,Piece,483,2026-05-23,True
67,SKU-FUR-000067,LG Office Chair,Furniture,Office,LG,43787.18,34874.79,17.17,Box,413,2021-10-07,True
68,SKU-ELE-000068,Boat Chromebook,Electronics,Laptop,Boat,24630.75,18560.02,8.66,Pack,435,2019-03-20,True
69,SKU-ELE-000069,IKEA Ultrabook,Electronics,Laptop,IKEA,58445.78,44584.17,3.99,Liter,91,2023-03-30,True
70,SKU-FUR-000070,Havells Study Table,Furniture,Office,Havells,30657.5,21806.95,6.86,Piece,437,2021-01-14,True
71,SKU-FAS-000071,Realme Dress,Fashion,Women,Realme,31720.7,23262.19,9.6,Liter,15,2025-08-07,True
72,SKU-HOM-000072,Philips Vacuum Cleaner,Home Appliances,Cleaning,Philips,50640.03,39901.73,22.03,Box,360,2023-11-23,True
73,SKU-ELE-000073,Sony Smart Watch,Electronics,Accessories,Sony,15643.63,12105.73,13.97,Pack,124,2023-10-22,True
74,SKU-GRO-000074,Puma Rice,Groceries,Food,Puma,15478.68,11118.74,7.79,Box,298,2026-01-29,True
75,SKU-FUR-000075,Mi Wardrobe,Furniture,Bedroom,Mi,35064.52,27541.9,11.45,Piece,157,2025-11-16,True
76,SKU-HOM-000076,Mi Vacuum Cleaner,Home Appliances,Cleaning,Mi,37992.59,26816.41,4.79,Liter,111,2021-08-15,True
77,SKU-FUR-000077,LG Study Table,Furniture,Office,LG,52203.23,41639.79,9.15,Box,155,2023-06-16,True
78,SKU-HOM-000078,Apple Vacuum Cleaner,Home Appliances,Cleaning,Apple,38602.91,27690.28,3.33,Piece,445,2020-03-07,True
79,SKU-ELE-000079,Godrej Earbuds,Electronics,Accessories,Godrej,30413.41,23961.77,24.14,Pack,130,2024-07-16,True
80,SKU-ELE-000080,Godrej Power Bank,Electronics,Mobile,Godrej,5139.2,3750.4,1.53,Liter,77,2019-02-20,True
